midi_filename,dataset_name,file_path_x,total_processing_time,timestamp_x,pychord_atc_score,pychord_processing_time,pychord_accd_score,pychord_rccd_score,pychord_acc_score,chordino_atc_score,chordino_processing_time,chordino_accd_score,chordino_rccd_score,chordino_acc_score,atc_score_difference,rccd_score_difference,file_path_y,processing_time,timestamp_y,tonal_certainty_piece,pitch_class_entropy_piece,melodic_interval_entropy_piece,ioi_entropy_piece,max_polyphony,avg_polyphony,std_polyphony,polyphony_density,atc_score,atc_processing_time,atc_error,seg_max_poly,seg_avg_poly,seg_poly_density,seg_poly_std,seg_mean_max_polyphony_measures,seg_std_max_polyphony_measures,seg_mean_avg_polyphony_measures,seg_std_avg_polyphony_measures,seg_mean_polyphony_density_measures,seg_std_polyphony_density_measures,model_name,duration_seconds,reference_midi_instruments,transcription_midi_instruments,precision,recall,f_measure,average_overlap_ratio,precision_no_offset,recall_no_offset,f_measure_no_offset,average_overlap_ratio_no_offset,onset_precision,onset_recall,onset_f_measure,offset_precision,offset_recall,offset_f_measure,runtime
164.mid,pop909,/depot/yunglu/data/transcription/POP909/164/164.mid,9.191015720367432,2025-09-22 14:39:31.506690,1.9743589,1.4905898571014404,7.0,1.9743589,-1.0,1.467742,7.699219703674316,7.0,1.467742,-1.0,0.5066168999999998,0.5066168999999998,/depot/yunglu/data/transcription/POP909/164/164.mid,61.04609966278076,2025-08-05 02:43:27.287758,1.1663190890423532,2.5519891110574906,3.6255142375121023,1.4460068832474644,7.0,2.9403433526965084,1.0585547800536883,0.9213375908753494,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/164/164.mid']' returned non-zero exit status 1.",7,2.9403433526965084,0.9213375908753494,1.0585547800536883,5.5,0.8660254037844386,2.895413833328546,0.3768385007103008,0.8858875703394891,0.0852187581928524,ReconVAT,181.664218,3,1,0.108079,0.102804,0.105375,0.840463,0.618996,0.588785,0.603513,0.479939,0.684498,0.65109,0.667376,0.522926,0.497404,0.509846,7.162400173
164.mid,pop909,/depot/yunglu/data/transcription/POP909/164/164.mid,9.191015720367432,2025-09-22 14:39:31.506690,1.9743589,1.4905898571014404,7.0,1.9743589,-1.0,1.467742,7.699219703674316,7.0,1.467742,-1.0,0.5066168999999998,0.5066168999999998,/depot/yunglu/data/transcription/POP909/164/164.mid,61.04609966278076,2025-08-05 02:43:27.287758,1.1663190890423532,2.5519891110574906,3.6255142375121023,1.4460068832474644,7.0,2.9403433526965084,1.0585547800536883,0.9213375908753494,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/164/164.mid']' returned non-zero exit status 1.",7,2.9403433526965084,0.9213375908753494,1.0585547800536883,5.5,0.8660254037844386,2.895413833328546,0.3768385007103008,0.8858875703394891,0.0852187581928524,Transkun,181.664218,3,1,0.565217,0.52648,0.545161,0.924251,0.981048,0.913811,0.946237,0.753267,0.983278,0.915888,0.948387,0.727982,0.678089,0.702151,48.980668
648.mid,pop909,/depot/yunglu/data/transcription/POP909/648/648.mid,8.628692150115967,2025-09-22 14:39:32.324440,0.0,1.005709171295166,0.0,0.0,0.0,0.40104166,7.622054100036621,7.0,0.40104166,-1.0,0.40104166,0.40104166,/depot/yunglu/data/transcription/POP909/648/648.mid,37.56386780738831,2025-08-05 02:43:16.115758,1.3936573643885444,2.7503313120907955,3.787083518633156,1.977763385143407,9.0,3.7236406664870847,1.7221136402310104,0.8756493631431097,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/648/648.mid']' returned non-zero exit status 1.",9,3.7236406664870847,0.8756493631431097,1.7221136402310104,7.75,0.6614378277661477,3.685462476457588,0.2687119358307495,0.8731885071068552,0.0349033494171963,Basic_Pitch,201.295238,3,1,0.136364,0.140234,0.138272,0.890977,0.690747,0.710351,0.700412,0.571603,0.803571,0.826377,0.814815,0.544643,0.5601,0.552263,47.941908
648.mid,pop909,/depot/yunglu/data/transcription/POP909/648/648.mid,8.628692150115967,2025-09-22 14:39:32.324440,0.0,1.005709171295166,0.0,0.0,0.0,0.40104166,7.622054100036621,7.0,0.40104166,-1.0,0.40104166,0.40104166,/depot/yunglu/data/transcription/POP909/648/648.mid,37.56386780738831,2025-08-05 02:43:16.115758,1.3936573643885444,2.7503313120907955,3.787083518633156,1.977763385143407,9.0,3.7236406664870847,1.7221136402310104,0.8756493631431097,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/648/648.mid']' returned non-zero exit status 1.",9,3.7236406664870847,0.8756493631431097,1.7221136402310104,7.75,0.6614378277661477,3.685462476457588,0.2687119358307495,0.8731885071068552,0.0349033494171963,Bytedance_Piano_transcription,201.295238,3,1,0.18964,0.180301,0.184852,0.919158,0.947322,0.900668,0.923406,0.572358,0.95698,0.90985,0.93282,0.472344,0.449082,0.460419,53.768041
648.mid,pop909,/depot/yunglu/data/transcription/POP909/648/648.mid,8.628692150115967,2025-09-22 14:39:32.324440,0.0,1.005709171295166,0.0,0.0,0.0,0.40104166,7.622054100036621,7.0,0.40104166,-1.0,0.40104166,0.40104166,/depot/yunglu/data/transcription/POP909/648/648.mid,37.56386780738831,2025-08-05 02:43:16.115758,1.3936573643885444,2.7503313120907955,3.787083518633156,1.977763385143407,9.0,3.7236406664870847,1.7221136402310104,0.8756493631431097,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/648/648.mid']' returned non-zero exit status 1.",9,3.7236406664870847,0.8756493631431097,1.7221136402310104,7.75,0.6614378277661477,3.685462476457588,0.2687119358307495,0.8731885071068552,0.0349033494171963,CREPE_Pitch_Tracker,201.295238,3,1,0.000865,0.003339,0.001374,0.512989,0.013189,0.050918,0.020951,0.138201,0.096865,0.373957,0.153873,0.117622,0.45409,0.186845,14.079047
648.mid,pop909,/depot/yunglu/data/transcription/POP909/648/648.mid,8.628692150115967,2025-09-22 14:39:32.324440,0.0,1.005709171295166,0.0,0.0,0.0,0.40104166,7.622054100036621,7.0,0.40104166,-1.0,0.40104166,0.40104166,/depot/yunglu/data/transcription/POP909/648/648.mid,37.56386780738831,2025-08-05 02:43:16.115758,1.3936573643885444,2.7503313120907955,3.787083518633156,1.977763385143407,9.0,3.7236406664870847,1.7221136402310104,0.8756493631431097,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/648/648.mid']' returned non-zero exit status 1.",9,3.7236406664870847,0.8756493631431097,1.7221136402310104,7.75,0.6614378277661477,3.685462476457588,0.2687119358307495,0.8731885071068552,0.0349033494171963,Jointist,201.295238,3,4,0.11082,0.10601,0.108362,0.893034,0.842059,0.805509,0.823379,0.492504,0.926702,0.886477,0.906143,0.374346,0.358097,0.366041,11.00617
648.mid,pop909,/depot/yunglu/data/transcription/POP909/648/648.mid,8.628692150115967,2025-09-22 14:39:32.324440,0.0,1.005709171295166,0.0,0.0,0.0,0.40104166,7.622054100036621,7.0,0.40104166,-1.0,0.40104166,0.40104166,/depot/yunglu/data/transcription/POP909/648/648.mid,37.56386780738831,2025-08-05 02:43:16.115758,1.3936573643885444,2.7503313120907955,3.787083518633156,1.977763385143407,9.0,3.7236406664870847,1.7221136402310104,0.8756493631431097,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/648/648.mid']' returned non-zero exit status 1.",9,3.7236406664870847,0.8756493631431097,1.7221136402310104,7.75,0.6614378277661477,3.685462476457588,0.2687119358307495,0.8731885071068552,0.0349033494171963,MT3,201.295238,3,2,0.210669,0.194491,0.202257,0.910931,0.972875,0.898164,0.934028,0.592074,0.992767,0.916528,0.953125,0.463834,0.428214,0.445312,25.388014
648.mid,pop909,/depot/yunglu/data/transcription/POP909/648/648.mid,8.628692150115967,2025-09-22 14:39:32.324440,0.0,1.005709171295166,0.0,0.0,0.0,0.40104166,7.622054100036621,7.0,0.40104166,-1.0,0.40104166,0.40104166,/depot/yunglu/data/transcription/POP909/648/648.mid,37.56386780738831,2025-08-05 02:43:16.115758,1.3936573643885444,2.7503313120907955,3.787083518633156,1.977763385143407,9.0,3.7236406664870847,1.7221136402310104,0.8756493631431097,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/648/648.mid']' returned non-zero exit status 1.",9,3.7236406664870847,0.8756493631431097,1.7221136402310104,7.75,0.6614378277661477,3.685462476457588,0.2687119358307495,0.8731885071068552,0.0349033494171963,Madmom,201.295238,3,1,0.251892,0.194491,0.219501,0.879246,0.968649,0.747913,0.844089,0.617984,0.993514,0.767112,0.865756,0.580541,0.448247,0.505888,71.457158
648.mid,pop909,/depot/yunglu/data/transcription/POP909/648/648.mid,8.628692150115967,2025-09-22 14:39:32.324440,0.0,1.005709171295166,0.0,0.0,0.0,0.40104166,7.622054100036621,7.0,0.40104166,-1.0,0.40104166,0.40104166,/depot/yunglu/data/transcription/POP909/648/648.mid,37.56386780738831,2025-08-05 02:43:16.115758,1.3936573643885444,2.7503313120907955,3.787083518633156,1.977763385143407,9.0,3.7236406664870847,1.7221136402310104,0.8756493631431097,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/648/648.mid']' returned non-zero exit status 1.",9,3.7236406664870847,0.8756493631431097,1.7221136402310104,7.75,0.6614378277661477,3.685462476457588,0.2687119358307495,0.8731885071068552,0.0349033494171963,Omnizart,201.295238,3,1,0.197955,0.177796,0.187335,0.867298,0.875465,0.786311,0.828496,0.589123,0.890335,0.799666,0.842568,0.598513,0.537563,0.566403,30.117615
648.mid,pop909,/depot/yunglu/data/transcription/POP909/648/648.mid,8.628692150115967,2025-09-22 14:39:32.324440,0.0,1.005709171295166,0.0,0.0,0.0,0.40104166,7.622054100036621,7.0,0.40104166,-1.0,0.40104166,0.40104166,/depot/yunglu/data/transcription/POP909/648/648.mid,37.56386780738831,2025-08-05 02:43:16.115758,1.3936573643885444,2.7503313120907955,3.787083518633156,1.977763385143407,9.0,3.7236406664870847,1.7221136402310104,0.8756493631431097,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/648/648.mid']' returned non-zero exit status 1.",9,3.7236406664870847,0.8756493631431097,1.7221136402310104,7.75,0.6614378277661477,3.685462476457588,0.2687119358307495,0.8731885071068552,0.0349033494171963,ReconVAT,201.295238,3,1,0.108374,0.110184,0.109272,0.828407,0.651888,0.662771,0.657285,0.487305,0.72578,0.737896,0.731788,0.58867,0.598497,0.593543,5.469261474
648.mid,pop909,/depot/yunglu/data/transcription/POP909/648/648.mid,8.628692150115967,2025-09-22 14:39:32.324440,0.0,1.005709171295166,0.0,0.0,0.0,0.40104166,7.622054100036621,7.0,0.40104166,-1.0,0.40104166,0.40104166,/depot/yunglu/data/transcription/POP909/648/648.mid,37.56386780738831,2025-08-05 02:43:16.115758,1.3936573643885444,2.7503313120907955,3.787083518633156,1.977763385143407,9.0,3.7236406664870847,1.7221136402310104,0.8756493631431097,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/648/648.mid']' returned non-zero exit status 1.",9,3.7236406664870847,0.8756493631431097,1.7221136402310104,7.75,0.6614378277661477,3.685462476457588,0.2687119358307495,0.8731885071068552,0.0349033494171963,Transkun,201.295238,3,1,0.426561,0.404841,0.415418,0.92641,0.995602,0.944908,0.969593,0.684074,0.998241,0.947412,0.972163,0.64292,0.610184,0.626124,43.932383
239.mid,pop909,/depot/yunglu/data/transcription/POP909/239/239.mid,16.230262517929077,2025-09-22 14:39:34.541790,0.0,1.6450471878051758,0.0,0.0,0.0,1.3798077,14.583839654922484,7.0,1.3798077,-1.0,1.3798077,1.3798077,/depot/yunglu/data/transcription/POP909/239/239.mid,455.0664699077606,2025-08-05 02:49:36.297878,1.490657423858055,2.864279732746038,3.781514757244624,1.669208041330339,10.0,3.4616825523659163,1.8284712177924145,0.8387623146112069,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/239/239.mid']' returned non-zero exit status 1.",10,3.4616825523659163,0.8387623146112069,1.8284712177924145,8.0,1.118033988749895,3.329239098574959,0.3775621714311845,0.8279139584022825,0.0554565371505691,Basic_Pitch,344.585578,3,1,0.164701,0.184334,0.173965,0.848244,0.667174,0.746701,0.704701,0.567927,0.761506,0.852278,0.804339,0.505135,0.565347,0.533548,51.068369
239.mid,pop909,/depot/yunglu/data/transcription/POP909/239/239.mid,16.230262517929077,2025-09-22 14:39:34.541790,0.0,1.6450471878051758,0.0,0.0,0.0,1.3798077,14.583839654922484,7.0,1.3798077,-1.0,1.3798077,1.3798077,/depot/yunglu/data/transcription/POP909/239/239.mid,455.0664699077606,2025-08-05 02:49:36.297878,1.490657423858055,2.864279732746038,3.781514757244624,1.669208041330339,10.0,3.4616825523659163,1.8284712177924145,0.8387623146112069,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/239/239.mid']' returned non-zero exit status 1.",10,3.4616825523659163,0.8387623146112069,1.8284712177924145,8.0,1.118033988749895,3.329239098574959,0.3775621714311845,0.8279139584022825,0.0554565371505691,Bytedance_Piano_transcription,344.585578,3,1,0.17079,0.152831,0.161312,0.841831,0.983349,0.879949,0.92878,0.501443,0.990961,0.88676,0.935969,0.408183,0.365262,0.385531,64.476962
239.mid,pop909,/depot/yunglu/data/transcription/POP909/239/239.mid,16.230262517929077,2025-09-22 14:39:34.541790,0.0,1.6450471878051758,0.0,0.0,0.0,1.3798077,14.583839654922484,7.0,1.3798077,-1.0,1.3798077,1.3798077,/depot/yunglu/data/transcription/POP909/239/239.mid,455.0664699077606,2025-08-05 02:49:36.297878,1.490657423858055,2.864279732746038,3.781514757244624,1.669208041330339,10.0,3.4616825523659163,1.8284712177924145,0.8387623146112069,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/239/239.mid']' returned non-zero exit status 1.",10,3.4616825523659163,0.8387623146112069,1.8284712177924145,8.0,1.118033988749895,3.329239098574959,0.3775621714311845,0.8279139584022825,0.0554565371505691,CREPE_Pitch_Tracker,344.585578,3,1,0.001439,0.007663,0.002423,0.463429,0.019183,0.102171,0.032301,0.143516,0.082407,0.43891,0.138762,0.103909,0.553427,0.174966,16.442055
239.mid,pop909,/depot/yunglu/data/transcription/POP909/239/239.mid,16.230262517929077,2025-09-22 14:39:34.541790,0.0,1.6450471878051758,0.0,0.0,0.0,1.3798077,14.583839654922484,7.0,1.3798077,-1.0,1.3798077,1.3798077,/depot/yunglu/data/transcription/POP909/239/239.mid,455.0664699077606,2025-08-05 02:49:36.297878,1.490657423858055,2.864279732746038,3.781514757244624,1.669208041330339,10.0,3.4616825523659163,1.8284712177924145,0.8387623146112069,0,0,"ATC tool execution failed: Command '['/usr/bin/python3', 'get_atc_score.py', '/depot/yunglu/data/transcription/POP909/239/239.mid']' returned non-zero exit status 1.",10,3.4616825523659163,0.8387623146112069,1.8284712177924145,8.0,1.118033988749895,3.329239098574959,0.3775621714311845,0.8279139584022825,0.0554565371505691,Jointist,344.585578,3,4,0.122561,0.123031,0.122796,0.844371,0.588634,0.59089,0.58976,0.486257,0.678965,0.681567,0.680263,0.42536,0.42699,0.426174,13.137714
