filename_base,dataset_mapped,pychord_atc_score,chordino_atc_score,dataset_name,f_measure
Track01497,Slakh 2100,3.2574258,2.0454545,Slakh 2100,0.000377
Track00244,Slakh 2100,2.8504155,2.526087,Slakh 2100,0.012432
Track00106,Slakh 2100,3.248366,3.36,Slakh 2100,0.00601
Track01288,Slakh 2100,1.8888888,2.8188622,Slakh 2100,0.0
Track00857,Slakh 2100,2.2519379,1.9850746,Slakh 2100,0.005845
Track00622,Slakh 2100,2.0,0.47841728,Slakh 2100,0.00475
Track00583,Slakh 2100,0.62222224,0.88,Slakh 2100,0.002211
Track01060,Slakh 2100,3.6102362,2.969697,Slakh 2100,0.002796
Track00700,Slakh 2100,2.8735409,2.4956522,Slakh 2100,0.023378
Track00958,Slakh 2100,3.8479125,3.700491,Slakh 2100,0.004354
Track00014,Slakh 2100,2.9747996,1.5371622,Slakh 2100,0.002221
Track00351,Slakh 2100,3.5631444,2.9862385,Slakh 2100,0.001133
Track01321,Slakh 2100,2.440367,1.05,Slakh 2100,0.002682
Track00738,Slakh 2100,3.2068062,2.9891891,Slakh 2100,0.003808
Track00456,Slakh 2100,3.0596027,1.6716418,Slakh 2100,0.006799
Track01477,Slakh 2100,2.8,2.3163636,Slakh 2100,0.002817
Track00452,Slakh 2100,1.6564885,0.6637931,Slakh 2100,0.002826
Track00209,Slakh 2100,3.8790932,2.5830986,Slakh 2100,0.0
Track01197,Slakh 2100,4.2035623,3.170767,Slakh 2100,0.00251
Track01376,Slakh 2100,1.1714756,1.640327,Slakh 2100,0.000855
Track01351,Slakh 2100,1.3573407,2.3648648,Slakh 2100,0.0
Track01485,Slakh 2100,3.7970479,3.0666666,Slakh 2100,0.004251
Track00593,Slakh 2100,1.8829114,1.2307693,Slakh 2100,0.000396
Track00731,Slakh 2100,3.1844864,1.9285715,Slakh 2100,0.015228
Track00612,Slakh 2100,1.6727941,1.5619308,Slakh 2100,0.013604
Track00429,Slakh 2100,0.42424244,0.73006135,Slakh 2100,0.005376
Track00805,Slakh 2100,0.0875,0.54858935,Slakh 2100,0.001733
Track01495,Slakh 2100,3.0042918,2.0416667,Slakh 2100,0.001813
Track00258,Slakh 2100,2.3171296,2.4,Slakh 2100,0.000813
Track01168,Slakh 2100,0.2716418,0.71854305,Slakh 2100,0.002245
Track00463,Slakh 2100,1.6677116,1.6091954,Slakh 2100,0.009158
Track00027,Slakh 2100,3.234177,2.9137056,Slakh 2100,0.000888
Track01253,Slakh 2100,2.6897376,0.7879925,Slakh 2100,0.000888
Track00836,Slakh 2100,3.9497206,2.231884,Slakh 2100,0.00218
Track01008,Slakh 2100,2.7131035,2.428125,Slakh 2100,0.002189
Track01184,Slakh 2100,0.90588236,0.0,Slakh 2100,0.005015
Track00768,Slakh 2100,2.846473,1.482353,Slakh 2100,0.01191
