filename_base,dataset_mapped,pychord_atc_score,chordino_atc_score,dataset_name,f_measure
BeethovenLv__O78__LVB_Sonate_78_2,MSMD,4.3245616,3.6084828,MSMD,0.006844
BachJS__BWV814__bach-french-suite-3-trio,MSMD,0.21875,0.0,MSMD,0.0
BachJS__BWV860__BWV860_Fuga15,MSMD,0.2633229,3.4102564,MSMD,0.001118
Mendelssohn-BartholdyF__O102__SongWW_opus102no3,MSMD,1.060606,0.088607594,MSMD,0.0
SchumannR__O68__schumann-op68-12-Pere-Fouettard,MSMD,4.152091,5.0086207,MSMD,0.008154
Traditional__traditioner_af_swenska_folk_dansar.3.13__traditioner_af_swenska_folk_dansar.3.13,MSMD,0.875,0.0,MSMD,0.0
BachJS__BWV988__bwv-988-v20,MSMD,1.307393,0.0,MSMD,0.001128
BachJS__BWV827__BWV-827-1,MSMD,0.030042918,0.0,MSMD,0.001708
ChopinFF__O69__w10-h-moll-cfi,MSMD,0.30022573,0.0,MSMD,0.0
JoplinS__a-breeze-from-alabama__a-breeze-from-alabama,MSMD,0.6963351,0.0,MSMD,0.0
BachJS__BWVAnh131__air,MSMD,2.8823528,4.375,MSMD,0.0
BeethovenLv__WoO78__seven_variations_opuswoo78,MSMD,1.1375,1.3070018,MSMD,0.004454
ScarlattiD__ds_sonate_c__ds_sonate_c,MSMD,0.3181818,0.8235294,MSMD,0.002443
SousaJP__TheLibertyBell__TheLibertyBell,MSMD,1.5480769,0.033653848,MSMD,0.002119
Traditional__traditioner_af_swenska_folk_dansar.3.11__traditioner_af_swenska_folk_dansar.3.11,MSMD,1.4918033,0.0,MSMD,0.005333
BeethovenLv__O49__LVB_Sonate_49no1_1,MSMD,1.7310195,0.023489933,MSMD,0.001517
MozartWA__KV331__KV331_1_1_tema,MSMD,0.6363636,0.0,MSMD,0.0
CzernyC__Op_821__Czerny_Op_821_No_016,MSMD,2.0114942,0.25925925,MSMD,0.0
BachJS__BWV784__bach-invention-13,MSMD,2.5869565,0.0,MSMD,0.011944
BeethovenLv__O2__LVB_Sonate_02no1_1,MSMD,1.6233766,0.0,MSMD,0.001989
TchaikovskyPI__O59__dumka,MSMD,1.7002584,3.010239,MSMD,0.001899
BachJS__BWV988__bwv-988-v24,MSMD,0.11111111,0.0,MSMD,0.002926
BurgmullerJFF__O100__25EF-03,MSMD,0.14893617,0.0,MSMD,0.0
BeethovenLv__O49__LVB_Sonate_49no2_2,MSMD,2.4936388,3.9157088,MSMD,0.00868
MozartWA__KV153__k153,MSMD,0.1521739,0.36842105,MSMD,0.005579
BachJS__BWV853__bwv853a,MSMD,0.44871795,0.0,MSMD,0.003428
CzernyC__Op_821__Czerny_Op_821_No_005,MSMD,4.282353,4.254902,MSMD,0.0
BurgmullerJFF__O100__25EF-16,MSMD,1.8064516,4.4925375,MSMD,0.0
HandelGF__Aylesford__04-toccata,MSMD,2.0146341,0.0,MSMD,0.0
BeethovenLv__O10__LVB_Sonate_10no1_1,MSMD,0.84090906,0.73006135,MSMD,0.00054
BachJS__BWV928__bach-praeludium-10,MSMD,1.4549019,0.0,MSMD,0.002721
SousaJP__KingCotton__KingCotton,MSMD,2.0704226,0.07777778,MSMD,0.000892
Traditional__traditioner_af_swenska_folk_dansar.1.23__traditioner_af_swenska_folk_dansar.1.23,MSMD,2.4915254,2.55,MSMD,0.001669
Traditional__traditioner_af_swenska_folk_dansar.3.22__traditioner_af_swenska_folk_dansar.3.22,MSMD,2.0877192,0.14285715,MSMD,0.010239
WanhalJ__O42__wanhal-rondo,MSMD,0.13084112,1.1666666,MSMD,0.0
ChopinFF__O9__nocturne_in_b-flat_minor,MSMD,1.5582192,1.6545454,MSMD,0.000564
Mendelssohn-BartholdyF__O16__mendelssohn-scherzo-eminor,MSMD,0.19444445,0.0,MSMD,0.000592
ChopinFF__O25__chopin-op-25-01,MSMD,6.4328065,1.9855769,MSMD,0.002822
BachJS__BWV825__15title-hub,MSMD,0.4375,1.75,MSMD,0.0
HandelGF__Aylesford__08-preludio,MSMD,3.1208334,1.2108108,MSMD,0.0
BachJS__BWV875__bwv875a,MSMD,3.7271523,4.1873875,MSMD,0.000659
BachJS__BWV775__bach-invention-04,MSMD,1.8897338,0.05882353,MSMD,0.0
BachJS__BWV779__bach-invention-08,MSMD,1.6835443,0.0,MSMD,0.003241
BeethovenLv__O79__LVB_Sonate_79_1,MSMD,4.5333333,4.497701,MSMD,0.001743
HandelGF__Aylesford__12-menuet,MSMD,0.7777778,0.0,MSMD,0.003759
BurgmullerJFF__O100__25EF-17,MSMD,3.375,2.24,MSMD,0.0
ChopinFF__O10__op-10-12-wfi,MSMD,5.047619,1.5,MSMD,0.012987
Traditional__traditioner_af_swenska_folk_dansar.1.26__traditioner_af_swenska_folk_dansar.1.26,MSMD,1.4,1.4,MSMD,0.012987
HandelGF__Aylesford__14-menueti,MSMD,1.12,1.2068965,MSMD,0.0
BachJS__BWV988__bwv-988-v28,MSMD,2.118123,3.5,MSMD,0.002575
Traditional__traditioner_af_swenska_folk_dansar.1.8__traditioner_af_swenska_folk_dansar.1.8,MSMD,1.3592232,0.0,MSMD,0.005405
BachJS__BWV774__bach-invention-03,MSMD,0.6039216,0.1521739,MSMD,0.0
BachJS__BWV795__bwv795,MSMD,0.53846157,2.3333333,MSMD,0.001672
ScriabinA__O16__scriabine-op16-no3,MSMD,0.62222224,0.0,MSMD,0.0
Traditional__traditioner_af_swenska_folk_dansar.3.18__traditioner_af_swenska_folk_dansar.3.18,MSMD,2.7416666,0.0,MSMD,0.0
HaydnFJ__HOB-XVI-27__hob-xvi-27-ii-menuet-trio,MSMD,0.29473683,0.0,MSMD,0.001322
Traditional__traditioner_af_swenska_folk_dansar.3.12__traditioner_af_swenska_folk_dansar.3.12,MSMD,0.21875,0.0,MSMD,0.0
BachJS__BWV829__56title-hub,MSMD,0.69135803,1.2352941,MSMD,0.0
