model_name,dataset_name,midi_filename,duration_seconds,reference_midi_instruments,transcription_midi_instruments,precision,recall,f_measure,average_overlap_ratio,precision_no_offset,recall_no_offset,f_measure_no_offset,average_overlap_ratio_no_offset,onset_precision,onset_recall,onset_f_measure,offset_precision,offset_recall,offset_f_measure,runtime
Bytedance_Piano_transcription,MSMD,BachJS__BWV862__bach-fugue17.wav,140.003265,2,1,0.807955,0.804299,0.806122,0.966396,0.998864,0.994344,0.996599,0.884729,0.998864,0.994344,0.996599,0.885227,0.881222,0.88322,42.990622
Bytedance_Piano_transcription,MSMD,BachJS__BWV862__bach-prelude17.wav,73.337324,2,1,0.83105,0.824773,0.8279,0.960597,1.0,0.992447,0.996209,0.880566,1.0,0.992447,0.996209,0.85997,0.853474,0.85671,40.060739
Bytedance_Piano_transcription,MSMD,BachJS__BWV865__BWV865_Fuga20.wav,274.739955,2,1,0.832838,0.826178,0.829495,0.963347,0.99703,0.989057,0.993028,0.889098,0.997454,0.989478,0.99345,0.882902,0.875842,0.879358,56.606245
Bytedance_Piano_transcription,MSMD,BachJS__BWV865__BWV865_Praeludium20.wav,70.474014,2,1,0.816529,0.8125,0.814509,0.955823,1.0,0.995066,0.997527,0.868433,1.0,0.995066,0.997527,0.861157,0.856908,0.859027,39.549392
Bytedance_Piano_transcription,MSMD,BachJS__BWV869__BWV869_Praeludium24.wav,125.336961,2,1,0.79668,0.8,0.798337,0.967603,0.991701,0.995833,0.993763,0.886799,0.991701,0.995833,0.993763,0.857538,0.861111,0.859321,46.230856
Bytedance_Piano_transcription,MSMD,BachJS__BWV869__bwv869b.wav,304.002902,5,1,0.832309,0.823107,0.827682,0.967278,0.996646,0.985627,0.991106,0.886133,0.996646,0.985627,0.991106,0.878703,0.868988,0.873819,57.733015
Bytedance_Piano_transcription,MSMD,BachJS__BWV870__wtk2fuga1.wav,166.002358,2,1,0.901804,0.872939,0.887137,0.973693,0.998998,0.967022,0.98275,0.921197,1.0,0.967992,0.983736,0.930862,0.901067,0.915722,44.81341
Bytedance_Piano_transcription,MSMD,BachJS__BWV871__wtk2-fugue2.wav,115.864671,2,1,0.865116,0.859784,0.862442,0.97083,1.0,0.993837,0.996909,0.909635,1.0,0.993837,0.996909,0.897674,0.892142,0.8949,40.274761
Bytedance_Piano_transcription,MSMD,BachJS__BWV871__wtk2-prelude2.wav,56.003628,2,1,0.888112,0.367052,0.519427,0.904315,0.975524,0.403179,0.570552,0.853689,0.996503,0.41185,0.582822,0.958042,0.395954,0.560327,34.472792
Bytedance_Piano_transcription,MSMD,BachJS__BWV875__bwv875a.wav,91.504036,2,1,0.915428,0.912882,0.914153,0.94327,1.0,0.99722,0.998608,0.904268,1.0,0.99722,0.998608,0.92658,0.924004,0.92529,41.097429
Bytedance_Piano_transcription,MSMD,BachJS__BWV878__f9.wav,172.003265,8,1,0.285714,0.001333,0.002654,0.977602,0.571429,0.002667,0.005309,0.662303,0.571429,0.002667,0.005309,0.857143,0.004,0.007963,48.966683
Bytedance_Piano_transcription,MSMD,BachJS__BWV924a__bach-prelude-bwv924a.wav,46.669206,2,1,0.836283,0.828947,0.832599,0.966998,1.0,0.991228,0.995595,0.890248,1.0,0.991228,0.995595,0.889381,0.881579,0.885463,32.818794
Bytedance_Piano_transcription,MSMD,BachJS__BWV926__bach-praeludium-02.wav,61.717188,2,1,0.872596,0.876812,0.874699,0.964198,0.987981,0.992754,0.990361,0.909142,0.990385,0.995169,0.992771,0.887019,0.891304,0.889157,39.643885
Bytedance_Piano_transcription,MSMD,BachJS__BWV928__bach-praeludium-10.wav,67.767438,2,1,0.858679,0.856049,0.857362,0.960136,1.0,0.996937,0.998466,0.888033,1.0,0.996937,0.998466,0.889401,0.886677,0.888037,37.162343
Bytedance_Piano_transcription,MSMD,BachJS__BWV928__prelude_9.wav,83.481542,2,1,0.880916,0.879573,0.880244,0.966648,1.0,0.998476,0.999237,0.90658,1.0,0.998476,0.999237,0.908397,0.907012,0.907704,40.422943
Bytedance_Piano_transcription,MSMD,BachJS__BWV952__fugue-c-major.wav,136.002177,2,1,0.865672,0.863524,0.864596,0.972044,1.0,0.997519,0.998758,0.908667,1.0,0.997519,0.998758,0.901741,0.899504,0.900621,42.618174
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-aria.wav,96.002902,2,1,0.642487,0.296651,0.405892,0.941243,0.948187,0.437799,0.599018,0.778597,0.974093,0.449761,0.615385,0.849741,0.392344,0.536825,38.449608
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v01.wav,96.002902,2,1,0.728682,0.341198,0.464771,0.957079,0.945736,0.442831,0.603214,0.82945,0.96124,0.450091,0.613103,0.856589,0.401089,0.546354,41.212246
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v03.wav,96.002902,2,1,0.78392,0.52,0.625251,0.959761,0.949749,0.63,0.757515,0.863504,0.964824,0.64,0.769539,0.879397,0.583333,0.701403,42.525782
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v04.wav,50.50195,2,1,0.56,0.41791,0.478632,0.966724,0.88,0.656716,0.752137,0.781849,0.92,0.686567,0.786325,0.805,0.600746,0.688034,35.506788
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v05.wav,44.31093,2,1,0.783019,0.160542,0.266453,0.890563,0.924528,0.189555,0.314607,0.808157,0.971698,0.199226,0.330658,0.95283,0.195358,0.324238,34.412626
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v06.wav,54.002358,2,1,0.726277,0.515544,0.60303,0.946361,0.890511,0.632124,0.739394,0.834106,0.912409,0.647668,0.757576,0.861314,0.611399,0.715152,37.155101
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v07.wav,96.002902,2,1,0.592593,0.135211,0.220183,0.960516,0.975309,0.222535,0.362385,0.742754,1.0,0.228169,0.37156,0.765432,0.174648,0.284404,40.116132
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v08.wav,60.634558,2,1,0.836478,0.206522,0.331258,0.922904,0.987421,0.243789,0.391034,0.826832,0.987421,0.243789,0.391034,0.962264,0.237578,0.381071,35.627547
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v09.wav,64.002902,2,1,0.68,0.326027,0.440741,0.954881,0.937143,0.449315,0.607407,0.813302,0.965714,0.463014,0.625926,0.868571,0.416438,0.562963,37.581086
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v10.wav,128.002902,2,1,0.663636,0.454829,0.539741,0.970829,0.872727,0.598131,0.709797,0.867614,0.922727,0.632399,0.750462,0.818182,0.560748,0.665434,43.249711
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v11.wav,61.939229,2,1,0.715909,0.102439,0.179232,0.922634,0.977273,0.139837,0.244666,0.736955,1.0,0.143089,0.250356,0.886364,0.126829,0.221906,38.654172
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v12.wav,61.278912,2,1,0.748011,0.444795,0.557864,0.923152,0.888594,0.528391,0.66271,0.825653,0.928382,0.55205,0.692384,0.883289,0.525237,0.658754,36.981652
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v13.wav,96.002902,2,1,0.645914,0.206468,0.312912,0.941418,0.964981,0.308458,0.467484,0.747716,0.984436,0.314677,0.476909,0.906615,0.289801,0.439208,40.170105
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v14.wav,95.502222,2,1,0.724138,0.230408,0.349584,0.939536,0.940887,0.299373,0.454221,0.828979,0.940887,0.299373,0.454221,0.807882,0.257053,0.390012,38.668151
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v15.wav,116.365351,2,1,0.591241,0.46374,0.519786,0.963355,0.836983,0.656489,0.735829,0.802297,0.890511,0.698473,0.782888,0.781022,0.612595,0.686631,41.098923
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v16.wav,117.503129,2,1,0.678571,0.342342,0.45509,0.934523,0.946429,0.477477,0.634731,0.795229,0.973214,0.490991,0.652695,0.869048,0.438438,0.582834,43.169888
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v18.wav,40.003628,2,1,0.724638,0.327869,0.451467,0.93231,0.934783,0.422951,0.582393,0.804108,0.956522,0.432787,0.595937,0.869565,0.393443,0.541761,34.36217
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v19.wav,41.742222,2,1,0.711712,0.232353,0.350333,0.951687,0.963964,0.314706,0.474501,0.79863,0.963964,0.314706,0.474501,0.936937,0.305882,0.461197,36.907225
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v20.wav,95.502222,2,1,0.787879,0.085667,0.154532,0.948192,0.984848,0.107084,0.193165,0.799973,0.984848,0.107084,0.193165,0.924242,0.100494,0.181278,39.805569
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v21.wav,112.943311,2,1,0.675325,0.567686,0.616845,0.970518,0.828571,0.696507,0.756821,0.886011,0.862338,0.724891,0.787663,0.78961,0.663755,0.721234,42.221931
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v22.wav,42.67102,2,1,0.573913,0.240876,0.339332,0.944112,0.93913,0.394161,0.55527,0.750253,0.956522,0.40146,0.565553,0.895652,0.375912,0.529563,33.93543
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v23.wav,67.414785,2,1,0.794574,0.287921,0.42268,0.914373,0.937984,0.339888,0.498969,0.832455,0.96124,0.348315,0.51134,0.895349,0.324438,0.476289,37.840103
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v24.wav,144.002902,2,1,0.636364,0.392739,0.485714,0.966177,0.863636,0.533003,0.659184,0.826674,0.887701,0.547855,0.677551,0.802139,0.49505,0.612245,43.002622
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v25.wav,102.002358,2,1,0.608309,0.277402,0.381041,0.94072,0.881306,0.401894,0.552045,0.762281,0.905045,0.41272,0.566914,0.845697,0.385656,0.52974,38.285498
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v26.wav,67.767438,2,1,0.860241,0.852029,0.856115,0.916864,0.99759,0.988067,0.992806,0.855677,0.998795,0.98926,0.994005,0.90241,0.893795,0.898082,37.680008
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v27.wav,96.002902,2,1,0.604938,0.100204,0.17193,0.963547,0.962963,0.159509,0.273684,0.771516,0.975309,0.161554,0.277193,0.790123,0.130879,0.224561,40.309467
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v28.wav,96.002902,2,1,0.681055,0.288911,0.405714,0.889156,0.918465,0.389624,0.547143,0.746702,0.959233,0.406918,0.571429,0.877698,0.37233,0.522857,37.486082
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v29.wav,68.574331,2,1,0.818482,0.345404,0.485798,0.918372,0.980198,0.413649,0.581783,0.834889,0.986799,0.416435,0.5857,0.917492,0.387187,0.544564,37.453945
Bytedance_Piano_transcription,MSMD,BachJS__BWV988__bwv-988-v30.wav,64.002902,2,1,0.604255,0.376658,0.464052,0.947566,0.902128,0.562334,0.69281,0.787412,0.92766,0.578249,0.712418,0.86383,0.538462,0.663399,36.658878
Bytedance_Piano_transcription,MSMD,BachJS__BWV994__bach-applicatio.wav,22.591565,2,1,0.828829,0.814159,0.821429,0.966978,0.990991,0.973451,0.982143,0.882366,0.990991,0.973451,0.982143,0.855856,0.840708,0.848214,27.108026
Bytedance_Piano_transcription,MSMD,BachJS__BWVAnh113__anna-magdalena-03.wav,48.002902,2,1,0.883268,0.876448,0.879845,0.962953,1.0,0.992278,0.996124,0.91181,1.0,0.992278,0.996124,0.902724,0.895753,0.899225,37.020187
Bytedance_Piano_transcription,MSMD,BachJS__BWVAnh115__anna-magdalena-05.wav,41.147211,2,1,0.862944,0.854271,0.858586,0.968416,1.0,0.98995,0.994949,0.895753,1.0,0.98995,0.994949,0.883249,0.874372,0.878788,35.324401
Bytedance_Piano_transcription,MSMD,BachJS__BWVAnh116__anna-magdalena-07.wav,57.602902,2,1,0.886364,0.880645,0.883495,0.965668,1.0,0.993548,0.996764,0.909247,1.0,0.993548,0.996764,0.899351,0.893548,0.89644,35.962029
Bytedance_Piano_transcription,MSMD,BachJS__BWVAnh117b__BWV-117b.wav,48.002902,2,1,0.874477,0.86722,0.870833,0.963647,1.0,0.991701,0.995833,0.909956,1.0,0.991701,0.995833,0.891213,0.883817,0.8875,38.741963
Bytedance_Piano_transcription,MSMD,BachJS__BWVAnh118__BWV-118.wav,78.003084,2,1,0.901345,0.893333,0.897321,0.974101,1.0,0.991111,0.995536,0.930394,1.0,0.991111,0.995536,0.910314,0.902222,0.90625,39.317157
Bytedance_Piano_transcription,MSMD,BachJS__BWVAnh119__BWV-119.wav,48.002902,2,1,0.870748,0.864865,0.867797,0.976947,0.993197,0.986486,0.989831,0.920032,0.993197,0.986486,0.989831,0.884354,0.878378,0.881356,33.425897
Bytedance_Piano_transcription,MSMD,BachJS__BWVAnh120__BWV-120.wav,63.753288,2,1,0.859756,0.854545,0.857143,0.969634,1.0,0.993939,0.99696,0.905265,1.0,0.993939,0.99696,0.865854,0.860606,0.863222,39.316912
Bytedance_Piano_transcription,MSMD,BachJS__BWVAnh121__BWV-121.wav,40.003628,2,1,0.870748,0.85906,0.864865,0.971406,1.0,0.986577,0.993243,0.917953,1.0,0.986577,0.993243,0.870748,0.85906,0.864865,39.633675
Bytedance_Piano_transcription,MSMD,BachJS__BWVAnh126__anna-magdalena-22.wav,20.003991,2,1,0.792899,0.783626,0.788235,0.944211,1.0,0.988304,0.994118,0.845421,1.0,0.988304,0.994118,0.828402,0.818713,0.823529,34.143635
