model_name,dataset_name,midi_filename,duration_seconds,reference_midi_instruments,transcription_midi_instruments,precision,recall,f_measure,average_overlap_ratio,precision_no_offset,recall_no_offset,f_measure_no_offset,average_overlap_ratio_no_offset,onset_precision,onset_recall,onset_f_measure,offset_precision,offset_recall,offset_f_measure,runtime
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_11_R2_2015_wav--2.wav,360.314603,1,1,0.009353,0.035491,0.014804,0.47973,0.029291,0.111154,0.046364,0.251965,0.140493,0.533151,0.222385,0.130319,0.49454,0.206279,1833.230615
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_16_R1_2015_wav--2.wav,237.391678,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1232.771531
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_17_R1_2015_wav--4.wav,417.620839,1,1,0.028169,0.031444,0.029716,0.320851,0.041349,0.046156,0.043621,0.218853,0.216178,0.24131,0.228053,0.203127,0.226742,0.214286,2071.355097
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D2-21-22_mid--AUDIO-from_mp3_22_R1_2015_wav--2.wav,408.833333,1,1,0.00471,0.010241,0.006453,0.289348,0.006568,0.01428,0.008998,0.117413,0.240032,0.521852,0.328819,0.225768,0.490841,0.309279,2071.462595
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--1.wav,228.81771,1,1,0.005012,0.040335,0.008916,0.412624,0.025437,0.204718,0.045252,0.187248,0.100236,0.806697,0.178316,0.089362,0.719178,0.15897,1218.285407
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--5.wav,152.232313,1,1,0.022234,0.123782,0.037697,0.297991,0.034839,0.193957,0.059068,0.190621,0.126576,0.704678,0.214604,0.117297,0.653021,0.198872,877.692585
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_07_R1_2015_wav--1.wav,277.308345,1,1,0.000441,0.003693,0.000788,0.412446,0.02107,0.176514,0.037647,0.1122,0.082253,0.689069,0.146964,0.083664,0.700886,0.149484,1378.425886
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_11_R1_2015_wav--2.wav,202.866667,1,1,0.029334,0.110287,0.046342,0.46526,0.054591,0.205242,0.086243,0.31569,0.194291,0.730465,0.306941,0.177848,0.668645,0.280964,1109.524535
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_16_R1_2015_wav--4.wav,536.03229,1,1,0.018183,0.034855,0.023899,0.427044,0.031672,0.06071,0.041627,0.280032,0.181065,0.347079,0.23798,0.162199,0.310915,0.213184,2654.471173
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_03_R1_2015_wav--4.wav,540.939569,1,1,0.028766,0.071596,0.041042,0.28749,0.039355,0.09795,0.05615,0.18516,0.196423,0.488873,0.280247,0.175834,0.437628,0.250871,2680.76768
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_15_R1_2015_wav--4.wav,305.922925,1,1,0.022675,0.055262,0.032156,0.348815,0.040679,0.099139,0.057688,0.225327,0.212739,0.518467,0.301689,0.180948,0.440989,0.256605,1513.635056
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_06_R1_2015_wav--4.wav,129.823968,1,1,0.054949,0.057845,0.05636,0.359298,0.071133,0.074881,0.072959,0.230173,0.359804,0.378764,0.369041,0.31577,0.332409,0.323876,720.8433
CREPE_AMT,Maestro 2015,MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_13_R2_2015_wav--3.wav,303.311474,1,1,0.012898,0.037267,0.019164,0.476272,0.032782,0.09472,0.048707,0.230237,0.173183,0.500388,0.257311,0.167003,0.482531,0.248129,1540.191641
