midi_filename,dataset_name,file_path,total_processing_time,timestamp,pychord_atc_score,pychord_processing_time,pychord_accd_score,pychord_rccd_score,pychord_acc_score,chordino_atc_score,chordino_processing_time,chordino_accd_score,chordino_rccd_score,chordino_acc_score,atc_score_difference,rccd_score_difference
307.mid,pop909,/depot/yunglu/data/transcription/POP909/307/307.mid,9.32334589958191,2025-10-02 17:36:17.120242,0.0,0.3741745948791504,0,0,0,0.1891892,8.947514295578003,7.0,0.1891892,-1.0,0.1891892,0.1891892
716.mid,pop909,/depot/yunglu/data/transcription/POP909/716/716.mid,7.938498497009277,2025-10-02 17:36:19.095829,0.0,0.45318603515625,0,0,0,0.14285715,7.484690189361572,7.0,0.14285715,-1.0,0.14285715,0.14285715
236.mid,pop909,/depot/yunglu/data/transcription/POP909/236/236.mid,16.46279764175415,2025-10-02 17:36:20.832349,0.0,0.43595290184020996,0,0,0,1.1666666,16.025343894958496,7.0,1.1666666,-1.0,1.1666666,1.1666666
349.mid,pop909,/depot/yunglu/data/transcription/POP909/349/349.mid,8.967971563339233,2025-10-02 17:36:23.133935,0.0,0.348369836807251,0,0,0,1.1973684,8.618202686309814,7.0,1.1973684,-1.0,1.1973684,1.1973684
645.mid,pop909,/depot/yunglu/data/transcription/POP909/645/645.mid,12.318325757980347,2025-10-02 17:36:23.430990,0.0,0.5695021152496338,0,0,0,0.9808917,11.74814772605896,7.0,0.9808917,-1.0,0.9808917,0.9808917
232.mid,pop909,/depot/yunglu/data/transcription/POP909/232/232.mid,13.458237409591675,2025-10-02 17:36:23.957888,0.0,0.7241957187652588,0,0,0,1.1592357,12.73354434967041,7.0,1.1592357,-1.0,1.1592357,1.1592357
570.mid,pop909,/depot/yunglu/data/transcription/POP909/570/570.mid,10.380675315856934,2025-10-02 17:36:26.955168,0.0,0.5695741176605225,0,0,0,0.44252872,9.810159683227539,7.0,0.44252872,-1.0,0.44252872,0.44252872
274.mid,pop909,/depot/yunglu/data/transcription/POP909/274/274.mid,10.734771966934204,2025-10-02 17:36:27.855623,0.0,0.5550849437713623,0,0,0,0.8,10.178980827331543,7.0,0.8,-1.0,0.8,0.8
345.mid,pop909,/depot/yunglu/data/transcription/POP909/345/345.mid,10.697373628616333,2025-10-02 17:36:29.793560,0.0,0.37876391410827637,0,0,0,0.2658228,10.31798267364502,7.0,0.2658228,-1.0,0.2658228,0.2658228
758.mid,pop909,/depot/yunglu/data/transcription/POP909/758/758.mid,9.004555702209473,2025-10-02 17:36:29.838373,0.0,0.44058966636657715,0,0,0,0.9402985,8.56326174736023,7.0,0.9402985,-1.0,0.9402985,0.9402985
641.mid,pop909,/depot/yunglu/data/transcription/POP909/641/641.mid,14.653804540634155,2025-10-02 17:36:31.321350,0.0,0.41634321212768555,0,0,0,1.1472223,14.236966133117676,7.0,1.1472223,-1.0,1.1472223,1.1472223
270.mid,pop909,/depot/yunglu/data/transcription/POP909/270/270.mid,10.555375337600708,2025-10-02 17:36:33.689888,0.0,0.6945950984954834,0,0,0,0.9722222,9.860242128372192,7.0,0.9722222,-1.0,0.9722222,0.9722222
387.mid,pop909,/depot/yunglu/data/transcription/POP909/387/387.mid,9.748331546783447,2025-10-02 17:36:36.704617,0.0,0.6546626091003418,0,0,0,0.12727273,9.093110084533691,7.0,0.12727273,-1.0,0.12727273,0.12727273
754.mid,pop909,/depot/yunglu/data/transcription/POP909/754/754.mid,13.40173625946045,2025-10-02 17:36:37.360077,0.0,0.40371108055114746,0,0,0,0.43579766,12.997426509857178,7.0,0.43579766,-1.0,0.43579766,0.43579766
683.mid,pop909,/depot/yunglu/data/transcription/POP909/683/683.mid,13.962110042572021,2025-10-02 17:36:37.393515,0.0,0.476764440536499,0,0,0,1.1083333,13.484568357467651,7.0,1.1083333,-1.0,1.1083333,1.1083333
796.mid,pop909,/depot/yunglu/data/transcription/POP909/796/796.mid,8.407289028167725,2025-10-02 17:36:38.201644,0.0,0.6426606178283691,0,0,0,0.083333336,7.764118432998657,7.0,0.083333336,-1.0,0.083333336,0.083333336
220.mid,pop909,/depot/yunglu/data/transcription/POP909/220/220.mid,8.601516485214233,2025-10-02 17:36:38.440661,0.0,0.4637949466705322,0,0,0,1.2727273,8.13723611831665,7.0,1.2727273,-1.0,1.2727273,1.2727273
708.mid,pop909,/depot/yunglu/data/transcription/POP909/708/708.mid,14.026901483535767,2025-10-02 17:36:41.883031,0.0,0.47504687309265137,0,0,0,1.5970874,13.550910472869873,7.0,1.5970874,-1.0,1.5970874,1.5970874
337.mid,pop909,/depot/yunglu/data/transcription/POP909/337/337.mid,9.116510391235352,2025-10-02 17:36:42.806778,0.0,0.4553542137145996,0,0,0,0.3962264,8.66053557395935,7.0,0.3962264,-1.0,0.3962264,0.3962264
704.mid,pop909,/depot/yunglu/data/transcription/POP909/704/704.mid,12.738117694854736,2025-10-02 17:36:44.059778,0.0,0.39233851432800293,0,0,0,0.69721115,12.34506344795227,7.0,0.69721115,-1.0,0.69721115,0.69721115
333.mid,pop909,/depot/yunglu/data/transcription/POP909/333/333.mid,8.477086544036865,2025-10-02 17:36:45.871961,0.0,0.6590797901153564,0,0,0,0.08045977,7.817544460296631,7.0,0.08045977,-1.0,0.08045977,0.08045977
746.mid,pop909,/depot/yunglu/data/transcription/POP909/746/746.mid,8.389317274093628,2025-10-02 17:36:46.591267,0.0,0.40370988845825195,0,0,0,0.23863636,7.985114574432373,7.0,0.23863636,-1.0,0.23863636,0.23863636
262.mid,pop909,/depot/yunglu/data/transcription/POP909/262/262.mid,11.499560594558716,2025-10-02 17:36:48.860054,0.0,0.6233813762664795,0,0,0,0.58878505,10.87570571899414,7.0,0.58878505,-1.0,0.58878505,0.58878505
408.mid,pop909,/depot/yunglu/data/transcription/POP909/408/408.mid,12.82778811454773,2025-10-02 17:36:49.532705,0.0,0.6972978115081787,0,0,0,0.64220184,12.130024433135986,7.0,0.64220184,-1.0,0.64220184,0.64220184
379.mid,pop909,/depot/yunglu/data/transcription/POP909/379/379.mid,11.158026456832886,2025-10-02 17:36:49.598987,0.0,0.46487951278686523,0,0,0,1.4,10.692700624465942,7.0,1.4,-1.0,1.4,1.4
817.mid,pop909,/depot/yunglu/data/transcription/POP909/817/817.mid,10.90187382698059,2025-10-02 17:36:52.785696,0.0,0.6046111583709717,0,0,0,0.3809524,10.296002864837646,7.0,0.3809524,-1.0,0.3809524,0.3809524
742.mid,pop909,/depot/yunglu/data/transcription/POP909/742/742.mid,10.328882455825806,2025-10-02 17:36:54.389910,0.0,0.5730233192443848,0,0,0,0.08045977,9.754458665847778,7.0,0.08045977,-1.0,0.08045977,0.08045977
671.mid,pop909,/depot/yunglu/data/transcription/POP909/671/671.mid,11.939414739608765,2025-10-02 17:36:54.746694,0.0,0.6934781074523926,0,0,0,1.0243902,11.24514102935791,7.0,1.0243902,-1.0,1.0243902,1.0243902
079.mid,pop909,/depot/yunglu/data/transcription/POP909/079/079.mid,10.823801040649414,2025-10-02 17:36:57.415499,0.0,0.38840150833129883,0,0,0,1.2816901,10.434940576553345,7.0,1.2816901,-1.0,1.2816901,1.2816901
375.mid,pop909,/depot/yunglu/data/transcription/POP909/375/375.mid,11.935925722122192,2025-10-02 17:36:57.808292,0.0,0.5996346473693848,0,0,0,0.22580644,11.335657835006714,7.0,0.22580644,-1.0,0.22580644,0.22580644
488.mid,pop909,/depot/yunglu/data/transcription/POP909/488/488.mid,9.219393730163574,2025-10-02 17:37:02.008390,0.0,0.34996938705444336,0,0,0,0.17721519,8.8687424659729,7.0,0.17721519,-1.0,0.17721519,0.17721519
788.mid,pop909,/depot/yunglu/data/transcription/POP909/788/788.mid,13.788418292999268,2025-10-02 17:37:02.648871,0.0,0.7173101902008057,0,0,0,2.1079545,13.070507049560547,7.0,2.1079545,-1.0,2.1079545,2.1079545
784.mid,pop909,/depot/yunglu/data/transcription/POP909/784/784.mid,13.231487512588501,2025-10-02 17:37:02.830838,0.0,0.4843766689300537,0,0,0,0.35636362,12.746718406677246,7.0,0.35636362,-1.0,0.35636362,0.35636362
325.mid,pop909,/depot/yunglu/data/transcription/POP909/325/325.mid,8.79983377456665,2025-10-02 17:37:03.190590,0.0,0.45326900482177734,0,0,0,0.19444445,8.345533609390259,7.0,0.19444445,-1.0,0.19444445,0.19444445
859.mid,pop909,/depot/yunglu/data/transcription/POP909/859/859.mid,13.95571517944336,2025-10-02 17:37:03.488815,0.0,0.4443840980529785,0,0,0,0.969697,13.510406970977783,7.0,0.969697,-1.0,0.969697,0.969697
029.mid,pop909,/depot/yunglu/data/transcription/POP909/029/029.mid,10.686262130737305,2025-10-02 17:37:05.433993,0.0,0.411973237991333,0,0,0,0.73426574,10.273728370666504,7.0,0.73426574,-1.0,0.73426574,0.73426574
809.mid,pop909,/depot/yunglu/data/transcription/POP909/809/809.mid,12.207074642181396,2025-10-02 17:37:09.622838,0.0,0.4973893165588379,0,0,0,0.9269406,11.709238767623901,7.0,0.9269406,-1.0,0.9269406,0.9269406
897.mid,pop909,/depot/yunglu/data/transcription/POP909/897/897.mid,12.678000211715698,2025-10-02 17:37:10.486924,0.0,0.5125257968902588,0,0,0,0.103960395,12.164933443069458,7.0,0.103960395,-1.0,0.103960395,0.103960395
805.mid,pop909,/depot/yunglu/data/transcription/POP909/805/805.mid,7.989509105682373,2025-10-02 17:37:11.480025,0.0,0.44677305221557617,0,0,0,0.0,7.542114496231079,,0.0,,0.0,0.0
321.mid,pop909,/depot/yunglu/data/transcription/POP909/321/321.mid,9.906344175338745,2025-10-02 17:37:12.555644,0.0,0.7404189109802246,0,0,0,0.8358209,9.16550064086914,7.0,0.8358209,-1.0,0.8358209,0.8358209
250.mid,pop909,/depot/yunglu/data/transcription/POP909/250/250.mid,11.726352214813232,2025-10-02 17:37:13.735538,0.0,0.7645912170410156,0,0,0,0.5185185,10.961179971694946,7.0,0.5185185,-1.0,0.5185185,0.5185185
734.mid,pop909,/depot/yunglu/data/transcription/POP909/734/734.mid,11.073424100875854,2025-10-02 17:37:14.265270,0.0,0.40512633323669434,0,0,0,0.31012657,10.66673469543457,7.0,0.31012657,-1.0,0.31012657,0.31012657
025.mid,pop909,/depot/yunglu/data/transcription/POP909/025/025.mid,12.517465114593506,2025-10-02 17:37:15.348589,0.0,0.5429563522338867,0,0,0,0.13779527,11.973696231842041,7.0,0.13779527,-1.0,0.13779527,0.13779527
434.mid,pop909,/depot/yunglu/data/transcription/POP909/434/434.mid,6.690850257873535,2025-10-02 17:37:18.171366,0.0,0.5051689147949219,0,0,0,0.15053764,6.185161590576172,7.0,0.15053764,-1.0,0.15053764,0.15053764
730.mid,pop909,/depot/yunglu/data/transcription/POP909/730/730.mid,9.185133934020996,2025-10-02 17:37:18.808282,0.0,0.5670785903930664,0,0,0,0.8076923,8.617408275604248,7.0,0.8076923,-1.0,0.8076923,0.8076923
438.mid,pop909,/depot/yunglu/data/transcription/POP909/438/438.mid,13.75426459312439,2025-10-02 17:37:19.188574,0.0,0.6872110366821289,0,0,0,0.27366254,13.066267967224121,7.0,0.27366254,-1.0,0.27366254,0.27366254
363.mid,pop909,/depot/yunglu/data/transcription/POP909/363/363.mid,10.481657266616821,2025-10-02 17:37:20.968941,0.0,0.622840404510498,0,0,0,0.25179857,9.858198881149292,7.0,0.25179857,-1.0,0.25179857,0.25179857
067.mid,pop909,/depot/yunglu/data/transcription/POP909/067/067.mid,11.129969120025635,2025-10-02 17:37:23.685966,0.0,0.7339997291564941,0,0,0,0.1,10.395277261734009,7.0,0.1,-1.0,0.1,0.1
772.mid,pop909,/depot/yunglu/data/transcription/POP909/772/772.mid,10.114720344543457,2025-10-02 17:37:24.380740,0.0,0.6136176586151123,0,0,0,0.3951613,9.498101949691772,7.0,0.3951613,-1.0,0.3951613,0.3951613
847.mid,pop909,/depot/yunglu/data/transcription/POP909/847/847.mid,11.07586145401001,2025-10-02 17:37:24.811777,0.0,0.8310348987579346,0,0,0,0.40265486,10.244362354278564,7.0,0.40265486,-1.0,0.40265486,0.40265486
843.mid,pop909,/depot/yunglu/data/transcription/POP909/843/843.mid,9.594993829727173,2025-10-02 17:37:24.943956,0.0,0.413010835647583,0,0,0,0.07909604,9.181453227996826,7.0,0.07909604,-1.0,0.07909604,0.07909604
476.mid,pop909,/depot/yunglu/data/transcription/POP909/476/476.mid,8.711897134780884,2025-10-02 17:37:26.883561,0.0,0.6485974788665771,0,0,0,0.46153846,8.062732219696045,7.0,0.46153846,-1.0,0.46153846,0.46153846
313.mid,pop909,/depot/yunglu/data/transcription/POP909/313/313.mid,9.53041124343872,2025-10-02 17:37:28.719875,0.0,0.5945792198181152,0,0,0,0.9230769,8.935218572616577,7.0,0.9230769,-1.0,0.9230769,0.9230769
