midi_filename,dataset_name,file_path,total_processing_time,timestamp,pychord_atc_score,pychord_processing_time,pychord_accd_score,pychord_rccd_score,pychord_acc_score,pychord_error,chordino_atc_score,chordino_processing_time,chordino_accd_score,chordino_rccd_score,chordino_acc_score,atc_score_difference,rccd_score_difference
Track01413.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track01413/Track01413.mid,19.06835961341858,2025-08-20 17:36:36.029615,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,2.5609756,17.80485224723816,7.0,2.5609756,-1.0,2.5609756,2.5609756
Track00462.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00462/Track00462.mid,37.83885860443115,2025-08-20 17:36:44.813552,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,2.3333333,37.802895069122314,7.0,2.3333333,-1.0,2.3333333,2.3333333
Track01390.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track01390/Track01390.mid,48.73575830459595,2025-08-20 17:36:51.161809,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,2.5305164,48.64070963859558,7.0,2.5305164,-1.0,2.5305164,2.5305164
Track01388.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track01388/Track01388.mid,16.892523765563965,2025-08-20 17:37:01.706409,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,1.6074075,16.806365966796875,7.0,1.6074075,-1.0,1.6074075,1.6074075
Track01082.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track01082/Track01082.mid,33.087841510772705,2025-08-20 17:37:02.143018,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,1.288671,33.038978815078735,7.0,1.288671,-1.0,1.288671,1.288671
Track01396.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track01396/Track01396.mid,44.32540416717529,2025-08-20 17:37:02.882912,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,4.705002,44.13529133796692,7.0,4.705002,-1.0,4.705002,4.705002
Track00987.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00987/Track00987.mid,31.913782835006714,2025-08-20 17:37:06.754579,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,2.2025862,31.87753939628601,7.0,2.2025862,-1.0,2.2025862,2.2025862
Track00849.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00849/Track00849.mid,58.699559688568115,2025-08-20 17:37:07.574555,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,2.4705882,58.62487459182739,7.0,2.4705882,-1.0,2.4705882,2.4705882
Track00291.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track00291/Track00291.mid,41.13583064079285,2025-08-20 17:37:11.067351,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,1.8629032,41.105252265930176,7.0,1.8629032,-1.0,1.8629032,1.8629032
Track01145.mid,slakh2100,/depot/yunglu/data/transcription/slakh2100/train/Track01145/Track01145.mid,47.096314668655396,2025-08-20 17:37:23.126906,0,0,0,0,0,ATC tool execution failed: /usr/bin/python3: can't open file '/home/shang33/AIM/music-transcription-research/complexity_metrics/atc/get_atc_score.py': [Errno 2] No such file or directory,1.8356644,47.0634868144989,7.0,1.8356644,-1.0,1.8356644,1.8356644
