midi_filename,dataset_name,file_path,total_processing_time,timestamp,pychord_atc_score,pychord_processing_time,pychord_accd_score,pychord_rccd_score,pychord_acc_score,chordino_atc_score,chordino_processing_time,chordino_accd_score,chordino_rccd_score,chordino_acc_score,atc_score_difference,rccd_score_difference
158_HikarinoSenshiPhoton_WakuseiZoldiasnoTatakai_12_13Area31.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/158_HikarinoSenshiPhoton_WakuseiZoldiasnoTatakai_12_13Area31.mid,1.3356611728668213,2025-08-15 16:32:23.295366,6.4166665,0.4221322536468506,7.0,6.4166665,0,6.2222223,0.9128036499023438,7.0,6.2222223,-1.0,0.1944441999999995,0.1944441999999995
348_TheLegendofZelda_02_03UnderworldBGM.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/348_TheLegendofZelda_02_03UnderworldBGM.mid,4.619478225708008,2025-08-15 16:32:25.237119,6.8333335,0.7137391567230225,7.0,6.8333335,0,0.3888889,3.904756784439087,7.0,0.3888889,-1.0,6.444444600000001,6.444444600000001
025_BatmanReturns_13_14ArcticWorldFinalBattleWithThePenguinStage62.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/025_BatmanReturns_13_14ArcticWorldFinalBattleWithThePenguinStage62.mid,8.4805269241333,2025-08-15 16:32:25.395852,5.4761906,1.0237929821014404,7.0,5.4761906,0,2.8165681,7.455374717712402,7.0,2.8165681,-1.0,2.6596225,2.6596225
388_Wizards_amp_Warriors_02_03ForestofElrond.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/388_Wizards_amp_Warriors_02_03ForestofElrond.mid,13.807346105575562,2025-08-15 16:32:26.502659,5.7272725,0.8002333641052246,7.0,5.7272725,0,3.7368422,13.00525188446045,7.0,3.7368422,-1.0,1.9904302999999999,1.9904302999999999
122_FireEmblem_AnkokuRyutoHikarinoTsurugi_14_15Fight3BattlewithMidBoss.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/122_FireEmblem_AnkokuRyutoHikarinoTsurugi_14_15Fight3BattlewithMidBoss.mid,7.519514799118042,2025-08-15 16:32:28.046871,4.327273,0.8066306114196777,7.0,4.327273,0,2.7251909,6.711722373962402,7.0,2.7251909,-1.0,1.6020821,1.6020821
022_BabelnoTou_06_07Ending.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/022_BabelnoTou_06_07Ending.mid,12.413014888763428,2025-08-15 16:32:28.081919,6.3636365,1.180286169052124,7.0,6.3636365,0,3.53211,11.230499029159546,7.0,3.53211,-1.0,2.8315265000000003,2.8315265000000003
066_DestinyofanEmperor_17_18Luoyang.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/066_DestinyofanEmperor_17_18Luoyang.mid,3.605043888092041,2025-08-15 16:32:29.001232,,0.7578706741333008,,,0,0.46666667,2.845974922180176,7.0,0.46666667,-1.0,,
246_Mother_01_02House.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/246_Mother_01_02House.mid,3.9054813385009766,2025-08-15 16:32:29.142910,,0.6683552265167236,,,0,0.36842105,3.2362799644470215,7.0,0.36842105,-1.0,,
022_BabelnoTou_05_06Miss.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/022_BabelnoTou_05_06Miss.mid,1.6927549839019775,2025-08-15 16:32:29.740017,4.3076925,0.5225157737731934,7.0,4.3076925,0,4.0,1.1695823669433594,7.0,4.0,-1.0,0.3076924999999999,0.3076924999999999
055_CircusCaper_17_10BonusGame1.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/055_CircusCaper_17_10BonusGame1.mid,3.098620891571045,2025-08-15 16:32:32.100232,5.864865,0.6730732917785645,7.0,5.864865,0,4.6,2.424170970916748,7.0,4.6,-1.0,1.2648650000000004,1.2648650000000004
044_CastleofDragon_02_03Map.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/044_CastleofDragon_02_03Map.mid,70.7876181602478,2025-08-15 16:32:35.306352,4.2047963,3.344494104385376,7.0,4.2047963,0,0.5609973,67.4349319934845,7.0,0.5609973,-1.0,3.643799,3.643799
038_BubbleBobble_03_04FalseEnding.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/038_BubbleBobble_03_04FalseEnding.mid,7.150290489196777,2025-08-15 16:32:36.293510,,0.6529035568237305,,,0,4.242424,6.496238708496094,7.0,4.242424,-1.0,,
404_ZippyRace_06_07VivaNY.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/404_ZippyRace_06_07VivaNY.mid,1.7228872776031494,2025-08-15 16:32:37.029677,,0.40395164489746094,,,0,4.6666665,1.3182556629180908,7.0,4.6666665,-1.0,,
061_DarkLord_04_05LittleNeoFight.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/061_DarkLord_04_05LittleNeoFight.mid,7.458704471588135,2025-08-15 16:32:37.199026,4.4360466,0.9558191299438477,7.0,4.4360466,0,2.31875,6.50150728225708,7.0,2.31875,-1.0,2.1172966,2.1172966
236_MickeyMousecapade_03_04Boss.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/236_MickeyMousecapade_03_04Boss.mid,12.189585447311401,2025-08-15 16:32:38.692594,4.143678,0.9162266254425049,7.0,4.143678,0,2.8181818,11.268980741500854,7.0,2.8181818,-1.0,1.3254962000000003,1.3254962000000003
113_FantasyZoneII_TheTeardropofOpa_Opa_08_09Fuwareak.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/113_FantasyZoneII_TheTeardropofOpa_Opa_08_09Fuwareak.mid,16.575850009918213,2025-08-15 16:32:39.871536,5.25,0.8617606163024902,7.0,5.25,0,5.0285716,15.711695194244385,7.0,5.0285716,-1.0,0.22142839999999975,0.22142839999999975
392_Yo_Noid_24_25WhackaMole.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/392_Yo_Noid_24_25WhackaMole.mid,10.797977447509766,2025-08-15 16:32:42.898562,5.194737,0.9146959781646729,7.0,5.194737,0,3.0692308,9.881823778152466,7.0,3.0692308,-1.0,2.1255062,2.1255062
145_Golgo13_TopSecretEpisode_10_11ShootingstageDungeon2ActionStage5.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/145_Golgo13_TopSecretEpisode_10_11ShootingstageDungeon2ActionStage5.mid,6.328110933303833,2025-08-15 16:32:43.358130,5.0,0.742236852645874,7.0,5.0,0,3.4313726,5.584594964981079,7.0,3.4313726,-1.0,1.5686274,1.5686274
191_Kirby_sAdventure_24_25BlackandWhitePlainsLevel.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/191_Kirby_sAdventure_24_25BlackandWhitePlainsLevel.mid,7.124942302703857,2025-08-15 16:32:43.418749,3.789809,1.1095871925354004,7.0,3.789809,0,4.2849603,6.014153718948364,7.0,4.2849603,-1.0,0.49515129999999985,0.49515129999999985
379_WardnernoMori_02_03Shop.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/379_WardnernoMori_02_03Shop.mid,5.99015736579895,2025-08-15 16:32:44.683421,5.29646,1.142099380493164,7.0,5.29646,0,3.4363637,4.845303058624268,7.0,3.4363637,-1.0,1.8600963,1.8600963
079_DoubleDragonIII_TheSacredStones_05_06JimsThemeBoss1.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/079_DoubleDragonIII_TheSacredStones_05_06JimsThemeBoss1.mid,5.46352744102478,2025-08-15 16:32:45.335485,3.4247313,0.9117705821990967,7.0,3.4247313,0,3.7160494,4.547907114028931,7.0,3.7160494,-1.0,0.29131810000000025,0.29131810000000025
322_SuperMarioBros__10_11SavedthePrincess.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/322_SuperMarioBros__10_11SavedthePrincess.mid,2.2032792568206787,2025-08-15 16:32:45.561819,,0.5320985317230225,,,0,0.0,1.6704673767089844,,0.0,,,
266_PoolofRadiance_26_27EndingTheme.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/266_PoolofRadiance_26_27EndingTheme.mid,17.645748138427734,2025-08-15 16:32:45.728083,,1.2116820812225342,,,0,5.804167,16.431947708129883,7.0,5.804167,-1.0,,
280_RoadRunner_07_08MerrieMelodies.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/280_RoadRunner_07_08MerrieMelodies.mid,0.5372486114501953,2025-08-15 16:32:46.099410,0.0,0.1380014419555664,0.0,0.0,0,,0.398831844329834,,,,,
341_TheFlintstones_TheRescueofDino_amp_Hoppy_03_04Boss.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/341_TheFlintstones_TheRescueofDino_amp_Hoppy_03_04Boss.mid,2.899163007736206,2025-08-15 16:32:48.235567,3.4567902,0.9435949325561523,7.0,3.4567902,0,2.0895522,1.9547781944274902,7.0,2.0895522,-1.0,1.367238,1.367238
078_Doraemon_12_13Boss2.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/078_Doraemon_12_13Boss2.mid,3.0984222888946533,2025-08-15 16:32:48.826814,5.388158,0.8495774269104004,7.0,5.388158,0,3.9315069,2.2480740547180176,7.0,3.9315069,-1.0,1.4566510999999998,1.4566510999999998
100_Falsion_09_10GameOver.mid,nesmdb,/scratch/gilbreth/shang33/AIM/datasets/nesmdb/nesmdb/100_Falsion_09_10GameOver.mid,2.2461249828338623,2025-08-15 16:32:51.073319,4.8,0.7027163505554199,7.0,4.8,0,2.0,1.5427160263061523,7.0,2.0,-1.0,2.8,2.8
